YesIntent yes
YesIntent sure
AddTask to add {milk | Task} to wunderlist
AddTask to add {milk | Task} to my grocery list
AddTask to add {milk | Task} to groceries
AddTask to add {milk | Task} to my groceries
AddTask to put {milk | Task} on wunderlist
AddTask to put {milk | Task} on my grocery list
AddTask to put {milk | Task} in groceries
AddTask add {milk | Task} to wunderlist
AddTask add {milk | Task} to my grocery list
AddTask add {milk | Task} to groceries
AddTask add {milk | Task} to my groceries
AddTask put {milk | Task} on wunderlist
AddTask put {milk | Task} on my grocery list
AddTask put {milk | Task} in groceries
